id,name,originating_house,status,status_note,submitted_date,created_at,updated_at,thumbnail_url,publish_status,is_featured,share_thumbnail_url,shugiin_url,diet_session_id,knowledge_source,use_knowledge_source_in_chat
09fd53cb-8b12-4bd4-bfe2-17b3bfd31410,医療法等の一部を改正する法律案,HR,enacted,衆議院に修正案（自民、立憲、維新、国民、公明）が提出され、可決されました。,2025-02-14 00:00:00+00,2025-09-24 15:07:10.439437+00,2025-12-19 09:20:20.98064+00,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/09fd53cb-8b12-4bd4-bfe2-17b3bfd31410_1764243755813.jpg,published,false,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/share_09fd53cb-8b12-4bd4-bfe2-17b3bfd31410_1764813247558.jpg,,590f4bea-1aad-4509-b7ef-908873675097,,false
119d1abb-ca5a-40e8-87d7-e7ae6db0f7af,保護司法等の一部を改正する法律案,HR,enacted,,2025-11-11 08:38:00+00,2025-09-29 08:38:55.166956+00,2025-12-19 09:19:07.310371+00,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/119d1abb-ca5a-40e8-87d7-e7ae6db0f7af_1764243949647.jpg,published,false,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/share_119d1abb-ca5a-40e8-87d7-e7ae6db0f7af_1764813220406.jpg,,590f4bea-1aad-4509-b7ef-908873675097,,false
126f6408-fd43-4bfb-91f7-3bdd79890954,ストーカー行為等の規制等に関する法律の一部を改正する法律案,HR,enacted,,2025-11-11 09:00:00+00,2025-11-14 10:07:20.622703+00,2025-12-19 09:19:21.888876+00,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/126f6408-fd43-4bfb-91f7-3bdd79890954_1764244083165.jpg,published,false,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/share_126f6408-fd43-4bfb-91f7-3bdd79890954_1764813186570.jpg,,590f4bea-1aad-4509-b7ef-908873675097,,false
5b0d43c9-2d2e-4dea-a4c4-d9e3a59d95a6,一般職の職員の給与に関する法律等の一部を改正する法律案,HR,enacted,,2025-12-08 08:11:00+00,2025-12-09 08:11:52.999767+00,2025-12-19 09:18:14.529355+00,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/5b0d43c9-2d2e-4dea-a4c4-d9e3a59d95a6_1765268266419.jpg,published,false,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/share_5b0d43c9-2d2e-4dea-a4c4-d9e3a59d95a6_1765459142133.jpg,,590f4bea-1aad-4509-b7ef-908873675097,,false
5c51e69d-5a5f-475d-b323-d9b31fd3014f,国際貿易における「船荷証券」の電子化法案,HR,preparing,,,2025-09-24 09:19:07.569563+00,2025-12-19 09:20:37.308721+00,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/5c51e69d-5a5f-475d-b323-d9b31fd3014f_1764243682875.jpg,published,false,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/share_5c51e69d-5a5f-475d-b323-d9b31fd3014f_1764813265190.jpg,,590f4bea-1aad-4509-b7ef-908873675097,"## 前提の理解
- 船荷証券は貨物の引き取りや所有権の移転を行うために必要不可欠な重要な有価証券である
- 電子化についての議論は数十年続いてきており、電子化は基本的には支持されている
- その理由は下記
  - すでに近年、船荷証券よりも荷物のほうが先に届いてしまうことで荷物の受取が困難になってしまういわゆる「船荷証券の危機」の問題が顕在化しており、電子化はその解決策になりうる
  - 作成、準備、送付の各プロセスで紙手続きで行うために関係者の出社が必須で業務負担がかかっており、デジタル化への期待がある
  - 紙であることによる未着や紛失リスクがある
  - すでに多くの貿易書類のオリジナル（原紙）書類が電子化されている中、船荷証券が最後の課題である
- すでに先行事例として「規約型」と呼ばれる電子船荷証券は存在するが、普及が進んでいない
  - 規約型とは、特定プラットフォーム事業者が定めたルールを用いて電子船荷証券を実現するモデルであり、利用者間で電子を紙と同等であるという規約に合意して使う
  - 普及が進んでいない理由は下記
    - あくまで利用者間でのみの合意であり、第三者への効力の裏付けが弱い。そのため「紙のB/Lを使っている方が安心・確実」という選好が残っている
    - 規約型システムを用いるには、運送人・荷送人・荷受人・銀行・フォワーダー等、複数の関係者が当該プラットフォーム（例：Bolero）への参加・登録を行い、相互に合意した運用ルールで運用される必要があるが、認知・参加度が低い
    - 船荷証券は国際条約と関わるため、電子B/Lを導入するには、準拠法・裁判管轄・物権的効力・譲渡対抗要件といった、慣行の整理が必要


## チームみらいの仮説

- よって総論として電子船荷証券を紙と同等と法的に認め電子化を推進すべきだと考えている
- しかし同時に下記の懸念を解消する必要がある
  - 導入コストの懸念
    - 特に輸出頻度の少ない中小事業者にとってシステム利用費用が負担になる可能性
  - システム・技術基盤・セキュリティの信頼性の懸念
    - 「システムが落ちたら終わり」というリスクにヘッジする必要がある
    - 具体的には下記
      - システムダウン時の対応
      - 偽造・複製・改ざん防止
      - 破損・消失時のバックアップ
      - 異なるシステム間での相互運用性・互換性
  - 利害関係者で合意できるかどうかの懸念
    - 紙B/Lは「世界中の誰でも扱える標準ツール」だったが電子は現状「プラットフォーム単位の世界」になるリスクがあるため、関係者での周知と合意形成プロセスが重要
    - ステークホルダー別に見ると
      - 船会社：すべての荷主に説明・調整が必要
      - フォワーダー：異なる船会社・港湾・通関・銀行で対応差がある可能性がある
      - 荷主（商社）：取引相手がシステム未対応の場合の代替手段を検討する必要
      - 銀行：L/C決済への対応（船荷証券などの信用状条件を満たす書類を提出することで、銀行が輸入者に代わって輸出者に代金を支払うことを保証する決済方法）
      - 港湾・税関：入出港手続きで紙必須な国が依然多数あり対応検討が必要
  - 紙 ↔ 電子の併存・転換に関する懸念
    - 紙と電子の併存期はどちらも二重権利化（dual existence）の懸念があるため、紙⇄電子の転換時にはどちらを優先するかを明示する必要
    - 紙⇄電子の転換請求権は、どの当事者が・いつ・どの理由で可能かを規定する必要
    - 最終的に電子化のみとするべきか、紙のオプションを残すかどうか
      - 「紙のオプションを残すと、顧客との間で決めなければならない、確認が必要、運用の複雑さが発生し、L/Cや決済に問題が出る（また、輸入者によっては支援要請をせざるを得ないと意図的にそこを悪用する可能性が発生）」38
  - リスク・責任分配に関する懸念
    - システム障害のときに誰が損害を負担するか
    - 誤操作やアクセス管理等の責任を誰が負うか
    - サイバーリスクなど外部からの不正アクセスの扱いをどうするか
  - 国際法制・海外スキームに関する懸念
    - 各国法制にどうあわせるか",true
67e0b771-6653-4542-9767-e0fe3a8599be,特別職の職員の給与に関する法律等の一部を改正する法律案,HR,enacted,,2025-12-08 09:02:00+00,2025-12-01 09:03:57.426341+00,2025-12-19 09:18:27.072993+00,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/new_1764579830475.jpg,published,false,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/share_67e0b771-6653-4542-9767-e0fe3a8599be_1765459166796.jpg,,590f4bea-1aad-4509-b7ef-908873675097,,false
7604167b-2990-4645-90cc-1a76a97a8a36,地方交付税法及び特別会計に関する法律の一部を改正する法律案,HR,preparing,,2025-10-07 15:09:00+00,2025-09-24 15:09:20.878286+00,2025-12-11 11:14:08.39805+00,,coming_soon,false,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DE094A.htm,,,false
77e4482c-4bab-4ee3-824d-0a602995c13a,配偶者からの暴力の防止及び被害者の保護等に関する法律の一部を改正する法律案,HR,enacted,,2025-11-11 00:01:00+00,2025-11-18 00:14:03.232376+00,2025-12-19 09:19:38.100682+00,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/77e4482c-4bab-4ee3-824d-0a602995c13a_1764244125527.png,published,false,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/share_77e4482c-4bab-4ee3-824d-0a602995c13a_1764813171277.jpg,,590f4bea-1aad-4509-b7ef-908873675097,,false
8d5b9ddd-6643-414a-b9a4-672b5a9ab4a3,国会議員の秘書の給与等に関する法律の一部を改正する法律案,HR,preparing,,2025-12-18 11:14:00+00,2025-12-18 11:14:26.864038+00,2025-12-18 11:14:40.323057+00,,coming_soon,false,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DE0A12.htm,,,false
a14c5d82-d1ff-4ee4-8f51-a20db4d1c768,高次脳機能障害者支援法案,HR,preparing,,2025-12-18 11:05:00+00,2025-12-18 11:05:53.07247+00,2025-12-18 11:06:08.234837+00,,coming_soon,false,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DE089E.htm,,,false
a6aad95e-5b88-4c60-995f-46940ad18fcb,気象業務法等の一部を改正する法律案,HR,enacted,,2025-11-11 15:09:00+00,2025-09-24 15:09:42.879551+00,2025-12-19 09:17:24.18927+00,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/a6aad95e-5b88-4c60-995f-46940ad18fcb_1764243804688.jpg,published,false,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/share_a6aad95e-5b88-4c60-995f-46940ad18fcb_1764813233735.jpg,,590f4bea-1aad-4509-b7ef-908873675097,,false
ac7ee195-bf8a-436b-bda8-e18ba923eced,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,HR,preparing,,2025-12-18 11:13:00+00,2025-12-18 11:13:54.629536+00,2025-12-18 11:13:59.016676+00,,coming_soon,false,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DE0A0E.htm,,,false
ca47a048-9271-4ff8-b77d-1a98acb4c741,裁判官の報酬等に関する法律の一部を改正する法律案、検察官の俸給等に関する法律の一部を改正する法律案,HR,enacted,,2025-12-08 09:30:00+00,2025-12-01 09:33:33.704909+00,2025-12-19 09:18:52.607301+00,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/ca47a048-9271-4ff8-b77d-1a98acb4c741_1764581747912.jpg,published,false,https://zijteehukgwujktnvyvu.supabase.co/storage/v1/object/public/bill-thumbnails/share_ca47a048-9271-4ff8-b77d-1a98acb4c741_1765459120766.jpg,,590f4bea-1aad-4509-b7ef-908873675097,,false
